id,name,type,sex,year,genre,thema,herkunft
hauptstadt,Die Hauptstadt,3,NA,2017,Gesellschaftsroman,Europaeische Union/Politik,NA
suhrkamp,Suhrkamp Verlag,1,NA,NA,NA,NA,NA
rome,Robert Menasse,4,2,NA,NA,Gesellschaft/Politik,Oesterreich
aal,America Award in Literature,2,NA,NA,NA,NA,NA
acfp,Adelbert-von-Chamisso-Förderpreis,2,NA,NA,NA,NA,NA
acp,Adelbert-von-Chamisso-Preis,2,NA,NA,NA,NA,NA
adp,Alfred-Döblin-Preis,2,NA,NA,NA,NA,NA
ads,Alfred-Döblin-Stipendium,2,NA,NA,NA,NA,NA
agpp,August-Graf-von-Platen-Preis,2,NA,NA,NA,NA,NA
alp,Allemannischer Literaturpreis,2,NA,NA,NA,NA,NA
amgp,Adam-Müller-Guttenbrunn-Förderpreis,2,NA,NA,NA,NA,NA
ap,aspekte-Literaturpreis,2,NA,NA,NA,NA,NA
arp,Arno-Reinfrank-Literaturpreis,2,NA,NA,NA,NA,NA
asbs,Arbeitsstipendium des Berliner Senats,2,NA,NA,NA,NA,NA
asdlf,Arbeitsstipendium des Deutschen Literaturfonds,2,NA,NA,NA,NA,NA
asln,Arbeitsstipendium des Landes Niedersachsen,2,NA,NA,NA,NA,NA
asp,Arthur-Schnitzler-Preis,2,NA,NA,NA,NA,NA
aspreis,Anna Seghers-Preis,2,NA,NA,NA,NA,NA
awa,Abraham-Woursell-Award,2,NA,NA,NA,NA,NA
awp,Anton-Wildgans-Preis,2,NA,NA,NA,NA,NA
bblp,Bertolt-Brecht-Literaturpreis,2,NA,NA,NA,NA,NA
berlin,Berlin Verlag,1,NA,NA,NA,NA,NA
romeo,Romeo oder Julia,3,NA,2017,Krimi,Liebe/Rache,NA
gefa,Gerhard Falkner,4,2,NA,NA,Lyrik/Liebe,Bayern
bbp,Bayerischer Buchpreis,2,NA,NA,NA,NA,NA
bkfp,Bayerischer Kunstförderpreis,2,NA,NA,NA,NA,NA
bkp,Bruno-Kreisky-Preis,2,NA,NA,NA,NA,NA
blp,Berliner Literaturpreis,2,NA,NA,NA,NA,NA
bom,Berliner Open Mike,2,NA,NA,NA,NA,NA
bp,Buch.Preis,2,NA,NA,NA,NA,NA
bpww,Buchpreis der Wiener Wirtschaft,2,NA,NA,NA,NA,NA
bsfpl,Bayerischer Staatsförderungspreis für Literatur,2,NA,NA,NA,NA,NA
bsibp,Bertelsmann-Stipendium Ingeborg-Bachmann-Preis,2,NA,NA,NA,NA,NA
zsolnay,Paul Zsolnay Verlag,1,NA,NA,NA,NA,NA
medusa,Das Floß der Medusa,3,NA,2017,Historischer Roman,Schiffbruch/Geschichte/Überleben,NA
frstgr,Franz Stefan Griebl,4,2,NA,NA,NA,Oesterreich
bslp,Bodensee-Literaturpreis,2,NA,NA,NA,NA,NA
