from,to,relation,year
abendland,bslp,2,2008
abendland,hanser,3,2007
abschaffung,kulp,2,2009
abschaffung,suhrkamp,3,2008
adam,berlin,3,2008
allesforscher,piper,3,2014
andernorts,suhrkamp,3,2010
angstbluete,rowohlt,3,2006
ankl,april,1,2014
ankl,hkp,2,2014
ankl,maedchen,1,2011
ankl,mlkp,2,2019
ankl,pswr,2,2014
ankl,roswp,2,2004
ankl,ssb,2,2013
ankl,ssb,2,2014
anku,cp,2,2007
anku,skizze,1,2016
annette,matthes,3,2020
anrast,blaue,4,2021
anrast,dkp,2,2003
anrast,ewp,2,2001
anrast,fbp,2,2005
anrast,hhp,2,2007
anrast,mbp,2,2005
anrast,plh,2,2019
anrast,rlp,2,2007
anrast,roswp,2,2003
anwe,annette,4,2020
anwe,ehup,2,2016
anwe,eupo,2,2008
anwe,hvdp,2,2004
anwe,ibp,2,2005
anwe,jhvp,2,2016
anwe,ssb,2,2020
anwe,vms,2,2007
anwe,kp,2,2010
anwe,plb,2,2022
april,hhp,2,2014
april,kiepenheuer,3,2014
archipel,rowohlt,3,2018
arge,alp,2,2017
arge,awa,2,1998
arge,elp,2,2019
arge,fhp,2,2011
arge,fpfhp,2,2005
arge,fpowp,2,2018
arge,fsp,2,2020
arge,gehtunsgut,4,2005
arge,jbp,2,2011
arge,jbpr,2,2018
arge,jphp,2,2008
arge,pdhpv,2,2011
arge,pkas,2,2011
arge,poi,2,2012
arge,psb,2,2019
arge,pvbm,2,2010
arge,vost,2,1999
atemschaukel,hanser,3,2009
atemschaukel,npl,2,2009
außersich,mcp,2,2017
außersich,pjps,2,2017
außersich,suhrkamp,3,2018
barbaren,suhrkamp,3,2018
bessere,fhpreis,2,2015
bessere,fischer,3,2015
bessere,mfp,2,2015
bessere,pwp,2,2015
blaue,fischer,3,2021
blumenberg,suhrkamp,3,2011
blumenberg,wrp,2,2011
blutbuch,dumont,3,2022
blutbuch,pjps,2,2022
blutbuch,schbp,2,2022
bobj,mdrp,2,2004
bobj,serpentinen,1,2020
boki,czm,2,2008
boki,dkp,2,2002
boki,pltn,2,2002
boki,rlp,2,2001
boki,widerfahrnis,4,2016
brueder,ddp,2,2020
brueder,hanser,3,2019
chkr,eurotrash,1,2021
chkr,hhp,2,2016
chkr,schbp,2,2016
chkr,wkp,2,2022
chkr,wrp,2,2012
chwu,bsfpl,2,2002
chwu,dame,1,2020
chwu,lssm,2,1999
chwu,mlp,2,2020
chwu,tp,2,2008
clme,cbp,2,2007
clme,fplpfs,2,2007
clme,ksp,2,2020
clme,mcp,2,2006
clme,mss,2,2016
clme,plb,2,2008
clme,rlp,2,2006
clme,ssb,2,2018
clme,stein,1,2013
clme,stlp,2,2010
clse,blp,2,2019
clse,ewp,2,2008
clse,frequenzen,1,2009
clse,gbp,2,2021
clse,indigo,1,2012
clse,jwp,2,2020
clse,klp,2,2020
clse,lpg,2,2008
clse,lpls,2,2017
clse,mklp,2,2018
clse,oaa,2,2010
clse,pkdw,2,2013
clse,plb,2,2011
clse,wrp,2,2015
dadr,arp,2,2012
dadr,aspreis,2,2009
dadr,bwp,2,2012
dadr,klpr,2,2012
dadr,msfp,2,2009
dadr,asdlf,2,2018
dadr,mutter,1,2022
dadr,rgp,2,2017
dake,awp,2,2019
dake,cp,2,2005
dake,elap,2,2021
dake,fhp,2,2018
dake,fob,2,2003
dake,fschp,2,2018
dake,klp,2,2006
dake,pcre,2,2010
dake,pkas,2,2006
dake,pkdw,2,1998
dake,poep,2,2008
dake,slcb,2,2000
dake,slp,2,2019
dake,tmp,2,2008
dake,vermessung,1,2005
dame,berenberg,3,2020
dame,wrp,2,2020
dasbindochich,hanser,3,2007
deoh,streulicht,1,2020
dida,abschaffung,1,2008
dida,fplakb,2,2009
dida,fplpfs,2,2008
dida,kulp,2,2013
dida,rsp,2,2020
dinge,ibp,2,2010
dinge,sldp,2,2010
dinge,taschenbuch,3,2010
doel,ap,2,2010
doel,efp,2,2015
doel,nbp,2,2022
doel,rp,2,2010
doel,schp,2,2015
doel,ssb,2,2021
doel,fmfpr,2,2018
doel,zuckerfabrik,1,2020
dora,andernorts,1,2010
dora,awp,2,2010
dora,cbp,2,2002
dora,ercfp,2,1997
dora,hls,2,1998
dora,hvdp,2,2000
dora,ibp,2,1994
dora,jape,2,2002
dora,moep,2,2000
dora,ppuw,2,2000
dora,whvvp,2,2007
dschinns,rgp,2,2022
dschinns,hanser,3,2022
dunkle,frankfurter,3,2005
dunkle,ppw,2,2006
dunkle,rlp,2,2005
ecni,fpfhp,2,2019
ecni,ibp,2,2017
ecni,spitzweg,1,2022
eins,droschl,3,2015
eins,schbp,2,2015
eins,fpss,2,2016
erau,hhp,2,1962
erau,klp,2,1989
erau,mp,2,1999
erau,robinsons,1,2012
erau,tp,2,1996
erden,hanser,3,2013
erfindung,matthes,3,2015
erfindung,rgp,2,2012
euro,rowohlt,3,2014
eurotrash,kiepenheuer,3,2021
eurotrash,schp,2,2022
euru,licht,4,2011
euru,mss,2,2020
euru,sgp,2,1992
evsc,egds,2,2022
evsc,fbp,2,1986
evsc,fphhp,2,1988
evsc,jahr,1,2016
evsc,nbp,2,1989
evsc,rp,2,1986
faay,dschinns,1,2022
faay,fhpreis,2,2018
faay,kmkp,2,2017
fliehkraefte,suhrkamp,3,2012
fremde,fischer,3,2016
frequenzen,fbp,2,2010
frequenzen,residenz,3,2009
frma,aal,2,1997
frma,awp,2,1981
frma,bpww,2,2014
frma,cwp,2,2000
frma,drp,2,1997
frma,fhp,2,1993
frma,gbp,2,2001
frma,gosp,2,1982
frma,gpba,2,1996
frma,help,2,2009
frma,henp,2,1989
frma,jbp,2,2014
frma,liebling,1,2005
frma,mp,2,1994
frma,nop,2,2013
frma,obp,2,2016
frma,owpl,2,1973
frma,php,2,2010
frma,psb,2,2010
frma,psw,2,1976
frma,roswp,2,1982
frma,tkp,2,1963
frstgr,asp,2,2002
frstgr,bp,2,2006
frstgr,fca,2,2019
frstgr,fp,2,1998
frstgr,ibp,2,1995
frstgr,iss,2,2008
frstgr,kpgh,2,1998
frstgr,medusa,1,2017
frstgr,nbp,2,2017
frstgr,ssd,2,2020
frstgr,sss,2,2015
frstgr,sswb,2,2017
frstgr,wwfp,2,1997
frstgr,wwp,2,1994
frwi,erfindung,4,2015
gefa,agpp,2,2009
gefa,asbs,2,2013
gefa,bkfp,2,1987
gefa,egds,2,2004
gefa,gkpn,2,2010
gefa,kp,2,2008
gefa,ktia,2,2012
gefa,php,2,2009
gefa,romeo,1,2017
gefa,ske,2,2015
gefa,spl,2,2006
gefa,ssrb,2,2003
gefa,ssso,2,2003
gefa,sva,2,2014
gefa,wepr,2,2014
gegenwelt,dumont,3,2011
gegenwelt,nbp,2,2011
gehen,knaus,3,2015
gehen,tmp,2,2016
gehen,whp,2,2016
gehtunsgut,hanser,3,2005
gele,drp,2,1979
gele,ibp,2,1978
gele,iskp,2,1999
gele,panischer,1,2014
gele,roswp,2,2014
gele,spss,2,1986
gele,spzk,2,2009
gele,stp,2,2023
gelo,chhs,2,2006
gelo,dunkle,1,2005
gelo,egds,2,2000
gelo,erp,2,1988
gelo,gmp,2,1985
gelo,kjp,2,1987
gelo,nydl,2,1990
gelo,ske,2,2004
gelo,sks,2,2001
gelo,vms,2,1973
gelo,wrp,2,2021
gilu,hbpl,2,2016
gilu,jwp,2,2016
gilu,rgp,2,2015
gilu,sap,2,2017
gilu,sosindwir,1,2005
